#Software: Microsoft Log Parser
#Version: 1.0
#Date: 2014-09-01 00:57:00
#Fields: LogFilename RecordNumber ComputerName SiteID DateTime ClientIpAddress ServerIpAddress ServerPort Method ProtocolVersion ProtocolStatus SubStatus TimeTaken BytesSent BytesReceived Win32Status UriStem UriQuery UserName
d:\iislog\W3SVC\ra140831.ibl 95451 USER-1A7617C508 132273000 2014-08-31 02:56:54 183.36.68.160 112.121.182.140 80 GET HTTP/1.1 200 0 15 653 391 0 /install/images/ico-step-now.png - -
d:\iislog\W3SVC\ra140831.ibl 95455 USER-1A7617C508 132273000 2014-08-31 02:56:54 183.36.68.160 112.121.182.140 80 GET HTTP/1.1 200 0 31 3722 387 0 /install/images/loading1.gif - -
d:\iislog\W3SVC\ra140831.ibl 95456 USER-1A7617C508 132273000 2014-08-31 02:56:54 183.36.68.160 112.121.182.140 80 GET HTTP/1.1 200 0 31 879 390 0 /install/images/step-ico-bg.png - -
d:\iislog\W3SVC\ra140831.ibl 95457 USER-1A7617C508 132273000 2014-08-31 02:56:54 183.36.68.160 112.121.182.140 80 GET HTTP/1.1 200 0 15 1827 387 0 /install/images/but_next.gif - -
d:\iislog\W3SVC\ra140831.ibl 95458 USER-1A7617C508 132273000 2014-08-31 02:56:54 183.36.68.160 112.121.182.140 80 GET HTTP/1.1 200 0 15 1705 387 0 /install/images/but_back.gif - -
d:\iislog\W3SVC\ra140831.ibl 95459 USER-1A7617C508 132273000 2014-08-31 02:56:54 183.36.68.160 112.121.182.140 80 GET HTTP/1.1 200 0 15 736 390 0 /install/images/leftbox-tbg.png - -
d:\iislog\W3SVC\ra140831.ibl 95460 USER-1A7617C508 132273000 2014-08-31 02:56:54 183.36.68.160 112.121.182.140 80 GET HTTP/1.1 200 0 15 570 390 0 /install/images/boxtitle_bg.gif - -
d:\iislog\W3SVC\ra140831.ibl 95464 USER-1A7617C508 132273000 2014-08-31 02:56:54 183.36.68.160 112.121.182.140 80 GET HTTP/1.1 200 0 62 17110 387 0 /install/images/top-logo.png - -
d:\iislog\W3SVC\ra140831.ibl 95474 USER-1A7617C508 132273000 2014-08-31 02:56:54 183.36.68.160 112.121.182.140 80 GET HTTP/1.1 200 0 15 1461 174 0 /favicon.ico - -
d:\iislog\W3SVC\ra140831.ibl 96312 USER-1A7617C508 132273000 2014-08-31 02:58:06 183.36.68.160 112.121.182.140 80 GET HTTP/1.1 200 0 0 847 413 0 /install/index.php step=10&dbhost=localhost&dbuser=a0829193053&dbpwd=15088373 -
d:\iislog\W3SVC\ra140831.ibl 96313 USER-1A7617C508 132273000 2014-08-31 02:58:06 183.36.68.160 112.121.182.140 80 GET HTTP/1.1 200 0 0 1173 365 0 /install/images/ajax-loader.gif - -
